phi_1 (deg),phi_2 (deg),solarAngle (deg),SA_coeff,Chassis_coeff,ABmag,ABmag_Origin
0,-9,-9,0.8997735360305072,1.0,15.0,15.0
5,-9,-4,0.9164771313305864,1.0,15.0,15.0
10,-9,1,0.9253076161365608,1.0,15.0,15.0
15,-9,6,0.9174404004523514,1.0,7.088083529197538,7.009605193414844
20,-9,11,0.9069397109175096,1.0,6.774360643422367,6.685252470439647
25,-9,16,0.893968851083764,1.0,6.519450311921725,6.4172327762146235
30,-9,21,0.8784895805932725,1.0,6.313376043201258,6.195369651517644
35,-9,26,0.8602320767766553,1.0,6.148772789858993,6.011920727073362
40,-9,31,0.83865295040361,1.0,6.022248332557068,5.862927545914895
45,-9,36,0.8128468346115689,1.0,5.9337083015413885,5.747462677880782
50,-9,41,0.7813690883507126,1.0,5.885332631603949,5.66643859214012
55,-9,46,0.7418869736577696,1.0,5.881020959505242,5.6217430900603516
60,-9,51,0.6904666686987628,1.0,5.926702764928132,5.615949620455387
65,-9,56,0.6199928760844244,1.0,6.0319481818599305,5.65264173547821
70,-9,61,0.5162084934359408,1.0,6.214084498035817,5.7373969380479215
75,-9,66,0.3458257247632391,1.0,6.509208304704951,5.879707151980514
80,-9,71,0.0089629309656821,1.0,7.011372197326739,6.096868372799832
85,-9,76,0.0,1.0,6.9762665587154435,6.423645898997785
90,-9,81,0.0,1.0,6.94544219670828,6.94544219670828
95,-9,86,0.0,1.0,6.925970394841689,6.925970394841689
100,-9,91,0.0,1.0,6.909207421213983,6.909207421213983
105,-9,96,0.0,1.0,6.887103519735017,6.887103519735017
110,-9,101,0.0,1.0,6.85661868529221,6.85661868529221
115,-9,106,0.0,1.0,6.82302855770883,6.82302855770883
120,-9,111,0.0,1.0,6.798725994459426,6.798725994459426
125,-9,116,0.0,1.0,6.795095993972948,6.795095993972948
130,-9,121,0.0,1.0,6.810065671541327,6.810065671541327
135,-9,126,0.0,1.0,6.822734268047411,6.822734268047411
140,-9,131,0.0,1.0,6.8128646287904004,6.8128646287904004
145,-9,136,0.0,1.0,6.816004462164931,6.816004462164931
150,-9,141,0.0,1.0,7.014842865459877,7.014842865459877
155,-9,146,0.0,1.0,8.168830378718182,8.168830378718182
160,-9,151,0.0,0.0,15.0,15.0
165,-9,156,0.0,0.0,15.0,15.0
170,-9,161,0.0,0.0,15.0,15.0
175,-9,166,0.0,0.0,15.0,15.0
180,-9,171,0.0,0.0,15.0,15.0
