phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),solarAngle (deg)
0,-27,67.01571812044855,40.015718120448554,-27
5,-27,66.50700268378345,44.507002683783455,-22
10,-27,65.04315493821537,48.043154938215366,-17
15,-27,62.778265661982765,50.77826566198277,-12
20,-27,59.89324771136069,52.89324771136069,-7
25,-27,56.54903045354161,54.549030453541604,-2
30,-27,52.8705131833448,55.8705131833448,3
35,-27,48.94864212159839,56.9486421215984,8
40,-27,44.84810527944936,57.848105279449356,13
45,-27,40.61485076778831,58.61485076778831,18
50,-27,36.2818602008279,59.28186020082791,23
55,-27,31.87321238755792,59.87321238755791,28
60,-27,27.406855183063374,60.40685518306337,33
65,-27,22.896485675061722,60.896485675061726,38
70,-27,18.352836287213854,61.35283628721385,43
75,-27,13.784570168126738,61.784570168126734,48
80,-27,9.198920995961172,62.198920995961174,53
85,-27,4.602166983797005,62.602166983797005,58
90,-27,6.459666845562274e-15,27.000000000000007,63
95,-27,4.602166983797005,26.602166983797005,68
100,-27,9.198920995961172,26.198920995961174,73
105,-27,13.784570168126738,25.784570168126734,78
110,-27,18.352836287213854,25.352836287213847,83
115,-27,22.896485675061722,24.896485675061726,88
120,-27,27.406855183063374,24.40685518306337,93
125,-27,31.87321238755792,23.873212387557913,98
130,-27,36.2818602008279,23.281860200827907,103
135,-27,40.61485076778831,22.61485076778831,108
140,-27,44.84810527944936,21.848105279449356,113
145,-27,48.94864212159839,20.948642121598397,118
150,-27,52.8705131833448,19.870513183344798,123
155,-27,56.54903045354161,18.549030453541604,128
160,-27,59.89324771136069,16.893247711360686,133
165,-27,62.778265661982765,14.778265661982772,138
170,-27,65.04315493821537,12.043154938215366,143
175,-27,66.50700268378345,8.507002683783455,148
180,-27,67.01571812044855,4.015718120448554,153
