phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),solarAngle (deg)
0,-3,67.01571812044855,64.01571812044855,-3
5,-3,66.50700268378345,68.50700268378345,2
10,-3,65.04315493821537,72.04315493821537,7
15,-3,62.778265661982765,74.77826566198277,12
20,-3,59.89324771136069,76.89324771136069,17
25,-3,56.54903045354161,78.5490304535416,22
30,-3,52.8705131833448,79.8705131833448,27
35,-3,48.94864212159839,80.9486421215984,32
40,-3,44.84810527944936,81.84810527944936,37
45,-3,40.61485076778831,82.61485076778831,42
50,-3,36.2818602008279,83.28186020082791,47
55,-3,31.87321238755792,83.87321238755791,52
60,-3,27.406855183063374,84.40685518306337,57
65,-3,22.896485675061722,84.89648567506173,62
70,-3,18.352836287213854,85.35283628721385,67
75,-3,13.784570168126738,85.78457016812673,72
80,-3,9.198920995961172,86.19892099596117,77
85,-3,4.602166983797005,86.602166983797,82
90,-3,6.459666845562274e-15,3.0,87
95,-3,4.602166983797005,2.602166983797005,92
100,-3,9.198920995961172,2.198920995961174,97
105,-3,13.784570168126738,1.7845701681267343,102
110,-3,18.352836287213854,1.3528362872138473,107
115,-3,22.896485675061722,0.8964856750617258,112
120,-3,27.406855183063374,0.4068551830633709,117
125,-3,31.87321238755792,-0.12678761244208658,122
130,-3,36.2818602008279,-0.7181397991720928,127
135,-3,40.61485076778831,-1.3851492322116883,132
140,-3,44.84810527944936,-2.1518947205506436,137
145,-3,48.94864212159839,-3.0513578784016033,142
150,-3,52.8705131833448,-4.129486816655202,147
155,-3,56.54903045354161,-5.450969546458396,152
160,-3,59.89324771136069,-7.1067522886393135,157
165,-3,62.778265661982765,-9.221734338017228,162
170,-3,65.04315493821537,-11.956845061784634,167
175,-3,66.50700268378345,-15.492997316216545,172
180,-3,67.01571812044855,-19.984281879551446,177
