phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),solarAngle (deg)
0,-15,67.01571812044855,52.015718120448554,-15
5,-15,66.50700268378345,56.507002683783455,-10
10,-15,65.04315493821537,60.043154938215366,-5
15,-15,62.778265661982765,62.77826566198277,0
20,-15,59.89324771136069,64.89324771136069,5
25,-15,56.54903045354161,66.5490304535416,10
30,-15,52.8705131833448,67.8705131833448,15
35,-15,48.94864212159839,68.9486421215984,20
40,-15,44.84810527944936,69.84810527944936,25
45,-15,40.61485076778831,70.61485076778831,30
50,-15,36.2818602008279,71.28186020082791,35
55,-15,31.87321238755792,71.87321238755791,40
60,-15,27.406855183063374,72.40685518306337,45
65,-15,22.896485675061722,72.89648567506173,50
70,-15,18.352836287213854,73.35283628721385,55
75,-15,13.784570168126738,73.78457016812673,60
80,-15,9.198920995961172,74.19892099596117,65
85,-15,4.602166983797005,74.602166983797,70
90,-15,6.459666845562274e-15,15.0,75
95,-15,4.602166983797005,14.602166983797005,80
100,-15,9.198920995961172,14.198920995961174,85
105,-15,13.784570168126738,13.784570168126734,90
110,-15,18.352836287213854,13.352836287213847,95
115,-15,22.896485675061722,12.896485675061726,100
120,-15,27.406855183063374,12.40685518306337,105
125,-15,31.87321238755792,11.873212387557913,110
130,-15,36.2818602008279,11.281860200827907,115
135,-15,40.61485076778831,10.614850767788312,120
140,-15,44.84810527944936,9.848105279449356,125
145,-15,48.94864212159839,8.948642121598397,130
150,-15,52.8705131833448,7.870513183344798,135
155,-15,56.54903045354161,6.549030453541604,140
160,-15,59.89324771136069,4.8932477113606865,145
165,-15,62.778265661982765,2.778265661982772,150
170,-15,65.04315493821537,0.0431549382153662,155
175,-15,66.50700268378345,-3.4929973162165453,160
180,-15,67.01571812044855,-7.984281879551446,165
