phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),solarAngle (deg)
0,-21,67.01571812044855,46.015718120448554,-21
5,-21,66.50700268378345,50.507002683783455,-16
10,-21,65.04315493821537,54.043154938215366,-11
15,-21,62.778265661982765,56.77826566198277,-6
20,-21,59.89324771136069,58.89324771136069,-1
25,-21,56.54903045354161,60.549030453541604,4
30,-21,52.8705131833448,61.8705131833448,9
35,-21,48.94864212159839,62.9486421215984,14
40,-21,44.84810527944936,63.848105279449356,19
45,-21,40.61485076778831,64.61485076778831,24
50,-21,36.2818602008279,65.28186020082791,29
55,-21,31.87321238755792,65.87321238755791,34
60,-21,27.406855183063374,66.40685518306337,39
65,-21,22.896485675061722,66.89648567506173,44
70,-21,18.352836287213854,67.35283628721385,49
75,-21,13.784570168126738,67.78457016812673,54
80,-21,9.198920995961172,68.19892099596117,59
85,-21,4.602166983797005,68.602166983797,64
90,-21,6.459666845562274e-15,21.0,69
95,-21,4.602166983797005,20.602166983797005,74
100,-21,9.198920995961172,20.198920995961174,79
105,-21,13.784570168126738,19.784570168126734,84
110,-21,18.352836287213854,19.352836287213847,89
115,-21,22.896485675061722,18.896485675061726,94
120,-21,27.406855183063374,18.40685518306337,99
125,-21,31.87321238755792,17.873212387557913,104
130,-21,36.2818602008279,17.281860200827907,109
135,-21,40.61485076778831,16.61485076778831,114
140,-21,44.84810527944936,15.848105279449356,119
145,-21,48.94864212159839,14.948642121598397,124
150,-21,52.8705131833448,13.870513183344798,129
155,-21,56.54903045354161,12.549030453541604,134
160,-21,59.89324771136069,10.893247711360686,139
165,-21,62.778265661982765,8.778265661982772,144
170,-21,65.04315493821537,6.043154938215366,149
175,-21,66.50700268378345,2.5070026837834547,154
180,-21,67.01571812044855,-1.984281879551446,159
