phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),solarAngle (deg),SA_coeff,Chassis_coeff
0,-3,67.01571812044855,64.01571812044855,-3,0.9217764253792857,1.0
5,-3,66.50700268378345,68.50700268378345,2,0.9302386206929986,1.0
10,-3,65.04315493821537,72.04315493821537,7,0.9253076161365607,1.0
15,-3,62.778265661982765,74.77826566198277,12,0.9174404004523514,1.0
20,-3,59.89324771136069,76.89324771136069,17,0.9069397109175096,1.0
25,-3,56.54903045354161,78.5490304535416,22,0.893968851083764,1.0
30,-3,52.8705131833448,79.8705131833448,27,0.8784895805932725,1.0
35,-3,48.94864212159839,80.9486421215984,32,0.8602320767766553,1.0
40,-3,44.84810527944936,81.84810527944936,37,0.83865295040361,1.0
45,-3,40.61485076778831,82.61485076778831,42,0.8128468346115689,1.0
50,-3,36.2818602008279,83.28186020082791,47,0.7813690883507126,1.0
55,-3,31.87321238755792,83.87321238755791,52,0.7418869736577696,1.0
60,-3,27.40685518306337,84.40685518306337,57,0.6904666686987628,1.0
65,-3,22.89648567506172,84.89648567506173,62,0.6199928760844244,1.0
70,-3,18.35283628721385,85.35283628721385,67,0.5162084934359408,1.0
75,-3,13.784570168126738,85.78457016812673,72,0.34582572476323914,1.0
80,-3,9.198920995961172,86.19892099596117,77,0.008962930965682125,1.0
85,-3,4.602166983797005,86.602166983797,82,0.0,1.0
90,-3,6.459666845562274e-15,3.0,87,0.0,1.0
95,-3,4.602166983797005,2.602166983797005,92,0.0,1.0
100,-3,9.198920995961172,2.198920995961174,97,0.0,1.0
105,-3,13.784570168126738,1.7845701681267343,102,0.0,1.0
110,-3,18.35283628721385,1.3528362872138473,107,0.0,1.0
115,-3,22.89648567506172,0.8964856750617258,112,0.0,1.0
120,-3,27.40685518306337,0.4068551830633709,117,0.0,1.0
125,-3,31.87321238755792,-0.1267876124420865,122,0.0,0.0
130,-3,36.2818602008279,-0.7181397991720928,127,0.0,0.0
135,-3,40.61485076778831,-1.3851492322116885,132,0.0,0.0
140,-3,44.84810527944936,-2.151894720550644,137,0.0,0.0
145,-3,48.94864212159839,-3.0513578784016038,142,0.0,0.0
150,-3,52.8705131833448,-4.129486816655202,147,0.0,0.0
155,-3,56.54903045354161,-5.450969546458396,152,0.0,0.0
160,-3,59.89324771136069,-7.1067522886393135,157,0.0,0.0
165,-3,62.778265661982765,-9.221734338017228,162,0.0,0.0
170,-3,65.04315493821537,-11.956845061784634,167,0.0,0.0
175,-3,66.50700268378345,-15.492997316216544,172,0.0,0.0
180,-3,67.01571812044855,-19.98428187955145,177,0.0,0.0
