phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),solarAngle (deg),SA_coeff,Chassis_coeff
0,-27,67.01571812044855,40.01571812044856,-27,0.8088374318114335,1.0
5,-27,66.50700268378345,44.507002683783455,-22,0.8367202179034929,1.0
10,-27,65.04315493821537,48.043154938215366,-17,0.855709447291843,1.0
15,-27,62.778265661982765,50.77826566198277,-12,0.869003019859524,1.0
20,-27,59.89324771136069,52.89324771136069,-7,0.878589736526732,1.0
25,-27,56.54903045354161,54.5490304535416,-2,0.8857279582748091,1.0
30,-27,52.8705131833448,55.8705131833448,3,0.8784895805932725,1.0
35,-27,48.94864212159839,56.9486421215984,8,0.8602320767766553,1.0
40,-27,44.84810527944936,57.84810527944936,13,0.83865295040361,1.0
45,-27,40.61485076778831,58.61485076778831,18,0.8128468346115689,1.0
50,-27,36.2818602008279,59.28186020082791,23,0.7813690883507126,1.0
55,-27,31.87321238755792,59.87321238755791,28,0.7418869736577696,1.0
60,-27,27.40685518306337,60.40685518306337,33,0.6904666686987628,1.0
65,-27,22.89648567506172,60.896485675061726,38,0.6199928760844244,1.0
70,-27,18.35283628721385,61.35283628721385,43,0.5162084934359408,1.0
75,-27,13.784570168126738,61.784570168126734,48,0.34582572476323914,1.0
80,-27,9.198920995961172,62.19892099596117,53,0.008962930965682125,1.0
85,-27,4.602166983797005,62.602166983797005,58,0.0,1.0
90,-27,6.459666845562274e-15,27.000000000000007,63,0.0,1.0
95,-27,4.602166983797005,26.602166983797005,68,0.0,1.0
100,-27,9.198920995961172,26.19892099596117,73,0.0,1.0
105,-27,13.784570168126738,25.78457016812673,78,0.0,1.0
110,-27,18.35283628721385,25.352836287213847,83,0.0,1.0
115,-27,22.89648567506172,24.89648567506173,88,0.0,1.0
120,-27,27.40685518306337,24.40685518306337,93,0.0,1.0
125,-27,31.87321238755792,23.873212387557917,98,0.0,1.0
130,-27,36.2818602008279,23.281860200827907,103,0.0,1.0
135,-27,40.61485076778831,22.61485076778831,108,0.0,1.0
140,-27,44.84810527944936,21.84810527944936,113,0.0,1.0
145,-27,48.94864212159839,20.9486421215984,118,0.0,1.0
150,-27,52.8705131833448,19.8705131833448,123,0.0,1.0
155,-27,56.54903045354161,18.549030453541604,128,0.0,1.0
160,-27,59.89324771136069,16.893247711360686,133,0.0,1.0
165,-27,62.778265661982765,14.778265661982772,138,0.0,1.0
170,-27,65.04315493821537,12.043154938215366,143,0.0,1.0
175,-27,66.50700268378345,8.507002683783455,148,0.0,1.0
180,-27,67.01571812044855,4.015718120448554,153,0.0,1.0
