phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),solarAngle (deg),SA_coeff,Chassis_coeff
0,-15,67.01571812044855,52.01571812044856,-15,0.8746793687148489,1.0
5,-15,66.50700268378345,56.507002683783455,-10,0.8937996598172936,1.0
10,-15,65.04315493821537,60.043154938215366,-5,0.907499953350734,1.0
15,-15,62.778265661982765,62.77826566198277,0,0.9174404004523514,1.0
20,-15,59.89324771136069,64.89324771136069,5,0.9069397109175096,1.0
25,-15,56.54903045354161,66.5490304535416,10,0.893968851083764,1.0
30,-15,52.8705131833448,67.8705131833448,15,0.8784895805932725,1.0
35,-15,48.94864212159839,68.9486421215984,20,0.8602320767766553,1.0
40,-15,44.84810527944936,69.84810527944936,25,0.83865295040361,1.0
45,-15,40.61485076778831,70.61485076778831,30,0.8128468346115689,1.0
50,-15,36.2818602008279,71.28186020082791,35,0.7813690883507126,1.0
55,-15,31.87321238755792,71.87321238755791,40,0.7418869736577696,1.0
60,-15,27.40685518306337,72.40685518306337,45,0.6904666686987628,1.0
65,-15,22.89648567506172,72.89648567506173,50,0.6199928760844244,1.0
70,-15,18.35283628721385,73.35283628721385,55,0.5162084934359408,1.0
75,-15,13.784570168126738,73.78457016812673,60,0.34582572476323914,1.0
80,-15,9.198920995961172,74.19892099596117,65,0.008962930965682125,1.0
85,-15,4.602166983797005,74.602166983797,70,0.0,1.0
90,-15,6.459666845562274e-15,15.0,75,0.0,1.0
95,-15,4.602166983797005,14.602166983797003,80,0.0,1.0
100,-15,9.198920995961172,14.198920995961174,85,0.0,1.0
105,-15,13.784570168126738,13.784570168126734,90,0.0,1.0
110,-15,18.35283628721385,13.352836287213847,95,0.0,1.0
115,-15,22.89648567506172,12.896485675061726,100,0.0,1.0
120,-15,27.40685518306337,12.40685518306337,105,0.0,1.0
125,-15,31.87321238755792,11.873212387557912,110,0.0,1.0
130,-15,36.2818602008279,11.281860200827907,115,0.0,1.0
135,-15,40.61485076778831,10.614850767788312,120,0.0,1.0
140,-15,44.84810527944936,9.848105279449356,125,0.0,1.0
145,-15,48.94864212159839,8.948642121598397,130,0.0,1.0
150,-15,52.8705131833448,7.870513183344798,135,0.0,1.0
155,-15,56.54903045354161,6.549030453541604,140,0.0,1.0
160,-15,59.89324771136069,4.893247711360687,145,0.0,1.0
165,-15,62.778265661982765,2.778265661982772,150,0.0,1.0
170,-15,65.04315493821537,0.0431549382153662,155,0.0,1.0
175,-15,66.50700268378345,-3.4929973162165453,160,0.0,0.0
180,-15,67.01571812044855,-7.984281879551446,165,0.0,0.0
