phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),solarAngle (deg),SA_coeff,Chassis_coeff
0,-9,67.01571812044855,58.01571812044856,-9,0.8997735360305072,1.0
5,-9,66.50700268378345,62.507002683783455,-4,0.9164771313305863,1.0
10,-9,65.04315493821537,66.04315493821537,1,0.9253076161365607,1.0
15,-9,62.778265661982765,68.77826566198277,6,0.9174404004523514,1.0
20,-9,59.89324771136069,70.89324771136069,11,0.9069397109175096,1.0
25,-9,56.54903045354161,72.5490304535416,16,0.893968851083764,1.0
30,-9,52.8705131833448,73.8705131833448,21,0.8784895805932725,1.0
35,-9,48.94864212159839,74.9486421215984,26,0.8602320767766553,1.0
40,-9,44.84810527944936,75.84810527944936,31,0.83865295040361,1.0
45,-9,40.61485076778831,76.61485076778831,36,0.8128468346115689,1.0
50,-9,36.2818602008279,77.28186020082791,41,0.7813690883507126,1.0
55,-9,31.87321238755792,77.87321238755791,46,0.7418869736577696,1.0
60,-9,27.40685518306337,78.40685518306337,51,0.6904666686987628,1.0
65,-9,22.89648567506172,78.89648567506173,56,0.6199928760844244,1.0
70,-9,18.35283628721385,79.35283628721385,61,0.5162084934359408,1.0
75,-9,13.784570168126738,79.78457016812673,66,0.34582572476323914,1.0
80,-9,9.198920995961172,80.19892099596117,71,0.008962930965682125,1.0
85,-9,4.602166983797005,80.602166983797,76,0.0,1.0
90,-9,6.459666845562274e-15,9.0,81,0.0,1.0
95,-9,4.602166983797005,8.602166983797005,86,0.0,1.0
100,-9,9.198920995961172,8.198920995961174,91,0.0,1.0
105,-9,13.784570168126738,7.784570168126734,96,0.0,1.0
110,-9,18.35283628721385,7.352836287213847,101,0.0,1.0
115,-9,22.89648567506172,6.896485675061726,106,0.0,1.0
120,-9,27.40685518306337,6.406855183063371,111,0.0,1.0
125,-9,31.87321238755792,5.873212387557913,116,0.0,1.0
130,-9,36.2818602008279,5.281860200827907,121,0.0,1.0
135,-9,40.61485076778831,4.614850767788312,126,0.0,1.0
140,-9,44.84810527944936,3.848105279449357,131,0.0,1.0
145,-9,48.94864212159839,2.9486421215983967,136,0.0,1.0
150,-9,52.8705131833448,1.8705131833447977,141,0.0,1.0
155,-9,56.54903045354161,0.5490304535416044,146,0.0,1.0
160,-9,59.89324771136069,-1.1067522886393135,151,0.0,0.0
165,-9,62.778265661982765,-3.221734338017228,156,0.0,0.0
170,-9,65.04315493821537,-5.956845061784634,161,0.0,0.0
175,-9,66.50700268378345,-9.492997316216544,166,0.0,0.0
180,-9,67.01571812044855,-13.984281879551446,171,0.0,0.0
