phi_1 (deg),phi_2 (deg),solarAngle (deg),SA_coeff,Chassis_coeff,ABmag,ABmag_Origin
0,-21,-21,0.8450979781161577,1.0,15.0,15.0
5,-21,-16,0.8677320401471136,1.0,15.0,15.0
10,-21,-11,0.8835790013084445,1.0,15.0,15.0
15,-21,-6,0.8948888095421136,1.0,15.0,15.0
20,-21,-1,0.9031581349574348,1.0,15.0,15.0
25,-21,4,0.893968851083764,1.0,15.0,15.0
30,-21,9,0.8784895805932725,1.0,15.0,15.0
35,-21,14,0.8602320767766553,1.0,15.0,15.0
40,-21,19,0.83865295040361,1.0,15.0,15.0
45,-21,24,0.8128468346115689,1.0,15.0,15.0
50,-21,29,0.7813690883507126,1.0,15.0,15.0
55,-21,34,0.7418869736577696,1.0,15.0,15.0
60,-21,39,0.6904666686987628,1.0,15.0,15.0
65,-21,44,0.6199928760844244,1.0,15.0,15.0
70,-21,49,0.5162084934359408,1.0,5.792212820838757,5.449168030218189
75,-21,54,0.3458257247632391,1.0,5.929601786495889,5.5226802395907795
80,-21,59,0.0089629309656821,1.0,6.128726026441713,5.6346189799369135
85,-21,64,0.0,1.0,6.057873217296948,5.789901968181025
90,-21,69,0.0,1.0,5.993256285824071,5.993256285824071
95,-21,74,0.0,1.0,5.9320010817463125,5.9320010817463125
100,-21,79,0.0,1.0,5.864573844481206,5.864573844481206
105,-21,84,0.0,1.0,5.78438719184863,5.78438719184863
110,-21,89,0.0,1.0,5.691740461870836,5.691740461870836
115,-21,94,0.0,1.0,5.594588368945461,5.594588368945461
120,-21,99,0.0,1.0,5.502623952040258,5.502623952040258
125,-21,104,0.0,1.0,5.41436784361513,5.41436784361513
130,-21,109,0.0,1.0,5.305158780302288,5.305158780302288
135,-21,114,0.0,1.0,5.133289850129056,5.133289850129056
140,-21,119,0.0,1.0,4.8784384101858,4.8784384101858
145,-21,124,0.0,1.0,4.595111721758826,4.595111721758826
150,-21,129,0.0,1.0,4.419137213271812,4.419137213271812
155,-21,134,0.0,1.0,4.481279659860078,4.481279659860078
160,-21,139,0.0,1.0,4.804738854041602,4.804738854041602
165,-21,144,0.0,1.0,5.335498990636562,5.335498990636562
170,-21,149,0.0,1.0,6.096496808371734,6.096496808371734
175,-21,154,0.0,1.0,7.4524492507649365,7.4524492507649365
180,-21,159,0.0,0.0,15.0,15.0
