phi_1 (deg),phi_2 (deg),solarAngle (deg),SA_coeff,Chassis_coeff,ABmag,ABmag_Origin
0,-27,-27,0.8088374318114335,1.0,15.0,15.0
5,-27,-22,0.8367202179034929,1.0,15.0,15.0
10,-27,-17,0.855709447291843,1.0,15.0,15.0
15,-27,-12,0.869003019859524,1.0,15.0,15.0
20,-27,-7,0.878589736526732,1.0,15.0,15.0
25,-27,-2,0.8857279582748091,1.0,15.0,15.0
30,-27,3,0.8784895805932725,1.0,15.0,15.0
35,-27,8,0.8602320767766553,1.0,15.0,15.0
40,-27,13,0.83865295040361,1.0,15.0,15.0
45,-27,18,0.8128468346115689,1.0,15.0,15.0
50,-27,23,0.7813690883507126,1.0,15.0,15.0
55,-27,28,0.7418869736577696,1.0,15.0,15.0
60,-27,33,0.6904666686987628,1.0,15.0,15.0
65,-27,38,0.6199928760844244,1.0,15.0,15.0
70,-27,43,0.5162084934359408,1.0,15.0,15.0
75,-27,48,0.3458257247632391,1.0,15.0,15.0
80,-27,53,0.0089629309656821,1.0,15.0,15.0
85,-27,58,0.0,1.0,15.0,15.0
90,-27,63,0.0,1.0,15.0,15.0
95,-27,68,0.0,1.0,15.0,15.0
100,-27,73,0.0,1.0,15.0,15.0
105,-27,78,0.0,1.0,15.0,15.0
110,-27,83,0.0,1.0,15.0,15.0
115,-27,88,0.0,1.0,15.0,15.0
120,-27,93,0.0,1.0,15.0,15.0
125,-27,98,0.0,1.0,15.0,15.0
130,-27,103,0.0,1.0,15.0,15.0
135,-27,108,0.0,1.0,4.445269961920572,4.445269961920572
140,-27,113,0.0,1.0,4.074541387323788,4.074541387323788
145,-27,118,0.0,1.0,3.7509328616210214,3.7509328616210214
150,-27,123,0.0,1.0,3.644642319344939,3.644642319344939
155,-27,128,0.0,1.0,3.804035451310503,3.804035451310503
160,-27,133,0.0,1.0,4.11638822089263,4.11638822089263
165,-27,138,0.0,1.0,4.504872839547737,4.504872839547737
170,-27,143,0.0,1.0,5.0637433804393925,5.0637433804393925
175,-27,148,0.0,1.0,5.934254828740377,5.934254828740377
180,-27,153,0.0,1.0,7.320216256833783,7.320216256833783
