sun_alt,sun_az,sat_alt,sat_az,measured_mag,calculated_mag,file1_index,file2_index
-15.82572282102126,73.75059396793192,55.75487457,312.4098727,4.482983237,6.541496075417774,12169,64
-11.213833324856646,66.21084472824478,29.32182586,209.4210261,5.762249102,6.4231948150620575,5357,149
-13.732372829100251,301.60776648421944,21.97382234,42.32540803,7.746817973,9.05933184806882,11451,187
-20.378521833486907,310.85827544592206,66.5898953,209.9042452,5.70975959,6.073235522920895,10922,229
-21.94800519516569,41.19625064037967,74.53441148,60.80900476,5.324083557,5.674145183410921,12043,466
-25.23508594043922,86.87255893473453,34.58719661,141.0666468,6.793476399,7.171587857803123,13134,651
-13.443103705572872,97.66570310942876,33.37565377,124.897419,7.103820595,7.523232777441178,13990,739
-19.90674378453109,99.20025037646968,63.34777388,171.2783752,5.625824401,6.319033843511068,12994,877
-16.913454261556346,102.1757033988048,46.22976825,119.4358834,6.033526512,5.88086532972728,14215,970
-14.406069831076788,256.19572330095724,63.21190873,61.57051701,4.811483917,5.597563882809244,2933,977
-13.047524882303014,105.02357839273328,32.17148704,132.3848259,6.787020002,7.5217990852965775,14343,1006
-14.248687129994629,255.01948295026048,67.38385869,88.12675384,4.176531586,5.585178821997849,3588,1054
-12.937493113754238,253.745877986094,28.32572576,49.74058345,4.868441132,8.286076714725594,13038,1064
