sun_alt,sun_az,sat_alt,sat_az,sat_height,phase_angle,measured_mag,lab_brdf_mag,inferred_brdf_mag
-11.381180858228205,105.26296411788242,32.87386184,316.0661315,448.4444346,35.48027804262904,4.864597228,5.7900931118554855,4.910987030745029
-18.70022546266205,100.94375238805102,23.13947855,45.78559056,543.3053352,111.81584596880026,7.828255731,8.643272283728153,7.874604982213197
-16.19018266232432,102.10759009539629,45.80060379,128.220712,448.065297,113.65788291614159,5.670402161,5.935429023721345,5.787557646283421
-18.959690039748498,100.48992929463803,57.79610273,46.80805328,448.0281465,91.35211213354481,5.67033603,5.986598830016584,5.373515358834906
-15.719283514457434,102.38421141661227,38.79170615,81.02323453,542.2794834,121.93830150820979,6.652997558,6.539257566370788,6.510528340577855
-17.440216749476118,101.37572124636448,71.11544816,45.77991029,448.0889178,83.73617633079395,5.537722123,5.8128466485878185,5.127697897868279
-19.243355871723484,100.32492015421293,31.72758981,54.69149645,542.8222984,112.84246764864409,7.071911048,7.644939434097112,6.994003486345494
-13.635624554520424,103.61567462622591,59.47048705,42.58806344,542.658426,92.06658305078251,6.487049855,6.853284049406794,6.131497380403501
-22.158638335033032,98.31761268776876,37.33988576,52.15627874,542.8561501,106.33389400266569,6.895867995,7.028780510985754,6.380000946040296
-20.962528151375132,99.0134969009648,40.62307474,62.38405103,542.589851,109.62546060279857,6.481981531,6.604094411770728,6.113296406732572
-18.79535616898433,100.27566257121897,54.09559016,33.49469243,542.7608703,87.58711243282447,6.423326525,6.698605657626144,5.929593537697134
-20.960312751668027,98.36813369597921,62.3236304,180.6266802,541.9132316,75.02685613524235,5.721647423,6.365370719705517,5.510246336519601
-22.022514228083526,97.7465120868452,52.47716113,150.0463722,541.8214321,92.74543971990326,5.843858664,6.373450375097592,5.771182742122937
-11.14305715141221,101.41678333625747,23.16243116,75.00501073,542.2766273,137.04486844349609,6.403887533,9.106742822944476,8.902409010088961
-20.11337167246669,95.64931466695674,20.23053998,28.74740512,543.4463115,103.10537325804603,7.208270306,8.883984350935997,8.013414010396213
-21.403884170204183,94.48269904971183,20.79074087,70.60555858,542.366813,131.7878549892599,7.018013414,7.508941061145044,6.984809392662008
-20.436289014567866,95.06780798954911,27.23931205,52.45646793,542.7550894,116.95861719988758,6.847067043,7.842529104901107,7.146206379121073
-19.434556911216333,95.67199286734471,30.69687248,31.02251563,543.0911044,100.21413392207185,6.92583477,8.001078616780424,7.173693502675026
-14.537615696871626,98.61776611915155,39.44078134,87.09635985,542.1564883,124.96158651546418,5.926092498,6.10138109104089,6.534178649223695
-18.06327108323489,96.49733039135621,31.88426348,64.55742476,542.4226268,121.41756159813161,6.935744706,7.250204738276018,6.781883243979385
-22.712751561332215,93.68807548596153,21.88783587,54.28963111,542.871496,121.16491776551231,7.672062968,8.067981728109826,7.282252462749459
-23.41562052114534,92.85943950179222,31.98819852,34.09799898,542.7110948,101.1345238599995,6.87224303,7.589021540740063,6.811617984546444
-21.996688509158613,93.72695743796095,30.67770931,73.83649292,542.2866522,123.9709218699877,6.224369655,6.240841284170964,6.003426789107963
-28.00825282528559,89.99852660783472,21.62407535,41.46269608,542.9078913,111.74046696072891,8.563339032,8.01668785779954,7.160133067740838
-14.890705508650326,98.02170204077579,73.29565841,96.25806,542.1339543,91.80609293801017,5.12818649,6.1883572783182705,5.719418644344037
-21.119312258116285,94.260719975897,39.09593266,26.86739121,542.8004691,92.92757518779848,6.768927495,7.324542748053408,6.5032333182043045
-16.24020187205406,97.20814234103317,52.13517822,101.7516279,541.9176338,111.5105253057347,5.61309038,5.786651097494493,5.965233238352591
-18.414117689809558,95.8976247738359,33.28991477,100.3237821,541.8138997,128.1234909856872,5.489844495,4.975348672698309,6.089178744332725
-24.859457721318755,91.56001867172066,35.91087322,76.69226812,542.1506306,117.62665044967221,5.146710184,5.234770770689913,5.306945331240744
-23.656959303493643,92.30500043171628,36.99101771,87.46042888,542.2005013,119.18035738610837,4.937673,4.44318430357842,5.269279312631082
-22.59561638386524,92.95816945734758,48.60434478,76.66810907,542.3115808,107.32295179970066,5.29822076,5.434178299634709,5.31522712126741
-12.114185858300242,99.31521617499398,37.19856197,192.6070965,540.9962976,80.11923064078275,6.929889582,7.8786456708868515,6.99274912718419
-20.33108728873604,94.34106651836021,66.5352147,77.79187226,542.1249313,92.24651687558493,5.508952098,5.708580080956018,5.4200887550168435
-26.199574853017737,90.72247584142987,37.18711427,43.87884366,542.5594159,102.83114418260263,7.577425207,6.798644497502763,6.07345273527584
-17.99156739348016,95.36124931961938,34.75753668,171.1624939,541.2603153,90.89236855470376,6.958197182,7.841654146454344,6.919957752521472
-23.186501043648803,92.18469772686008,78.46421839,100.5146106,541.9670985,78.23580482465879,6.0235778,5.677784147262216,5.111565277642466
-14.48524969792566,78.65344647151126,55.92506978,163.3188275,540.0828848,80.98167318939251,6.345058771,7.0100826930040725,6.08693688045677
-11.406767954590734,80.76645849362316,29.36895967,105.5665008,540.1894807,132.72567822244304,6.595539016,8.081033738859277,7.999759792083369
-12.326543351706555,80.14252896737511,48.26231511,210.2432588,539.9443004,54.67393155936937,5.297035236,5.957969082241928,5.208128549961422
-24.626655850849954,70.44828262709139,24.71013963,100.6761215,540.2035683,122.6378302367226,7.178278694,7.21907673084363,6.467996963081571
-11.851377007088184,79.98303602298013,46.33611156,102.5534041,540.4683816,118.38461687054296,6.146592032,6.76772217656255,6.838452374237986
-12.910747848957422,79.2575026450425,36.73346662,93.03655075,540.4765995,128.68594640359174,6.569346093,6.533415019186992,6.966304687732549
