sun_alt,sun_az,sat_alt,sat_az,phase_angle,calculated_mag
-10.869573604239244,180.0,26.081500746942247,321.7684979806686,39.12457988627886,8.580641700478813
-13.796596356317645,180.0,34.67480652165742,311.5747368055334,48.26658627011456,8.045790829108089
-16.72361910840256,180.0,41.81087447212285,300.63269165366944,56.251011404111416,7.560331421836773
-11.987596809686911,180.0,48.09404227378292,300.6335266913405,60.82442523353869,7.587895068402991
-19.65064186048421,180.0,47.258507268969744,288.0902906979136,63.54815824282269,7.134235908630773
-14.914619561768568,180.0,54.19260454811764,287.3556596196835,67.8286743046241,7.126967821078867
-22.577664612565872,180.0,50.66653241596215,273.7593417098203,70.40706920274884,6.792873567087893
-10.17859726305292,180.0,61.59235425390742,289.1842455662798,71.98238879772943,7.268805356186471
-17.841642313850226,180.0,58.01365939141381,270.84058671557614,74.49828217334561,6.757550391584086
-13.10562001513458,180.0,65.92380643905334,268.87203571797164,78.50986570346578,6.852463023516279
-20.768665065931884,180.0,58.97447141235665,252.2766303260308,80.95807421248233,6.465608728725808
-16.032642767222747,180.0,66.55486237285452,244.5549367955604,84.88879476951375,6.512056544847445
-23.695687818007023,180.0,56.955848264768,234.5175865679016,87.30340735697595,6.180047008081041
-11.296620468500592,180.0,74.00453595775565,231.75269844206625,88.79549549492164,6.744882150130419
-18.959665519297893,180.0,63.33825593149808,222.80037746390587,91.20450450507836,6.160177445273386
-14.22364322058876,180.0,68.65643222804991,205.683979257094,95.11120523048623,6.333003824227529
-21.88668827137304,180.0,57.38592455296058,207.12446003278237,97.53496093650782,5.747985529355523
-17.15066597266391,180.0,60.81806354796663,191.4339157755157,101.49013429653424,5.890920326144685
-24.813711023461213,180.0,49.8064941263309,196.4489363044852,103.95981099955036,5.295299275644486
-12.414643673954776,180.0,61.9169663832051,173.67098015160508,105.5017178266544,6.344172275011138
-20.077688724752072,180.0,51.85112314214534,183.17243223379057,108.0176112022706,5.447523002645185
-27.740733775536352,180.0,41.193908869767945,188.93475034612493,110.56999209210358,4.454823095070864
-15.341666426029915,180.0,51.8947242703164,169.72030886060006,112.1713256953759,5.993161436208391
-23.004711476827215,180.0,42.16570914047923,177.8035660467702,114.79793843968687,4.777112365102101
-10.605644127320785,180.0,49.87045047231495,157.70930321684534,116.45184175717732,6.889279887484277
-18.268689178118088,180.0,41.401372015661416,167.2763252477908,119.17557476646132,5.753898170873129
-25.931734228915385,180.0,31.808435621048684,173.9689342282722,121.9736725438196,4.096123021981317
-13.532666879395926,180.0,38.94642717162574,158.3185537201223,123.7489885958886,6.860671916418535
-21.195711930193223,180.0,30.284547189143467,165.6307958985756,126.69803131601464,5.782054743580591
-28.858756980990524,180.0,20.630018525252744,171.06003092368792,129.76495358148193,4.549302819755761
-16.4596896314841,180.0,27.293788155788683,158.9905619356622,131.73341372988546,7.237332699901357
-11.723667332774962,180.0,23.12073102950743,154.61083158599575,137.2003262846671,8.934170946787816
-14.442940536630532,176.223852983349,26.72047891080417,322.16900408921754,34.02574736241797,6.494992383463082
-18.04931154962734,176.96772336692894,35.33344991260415,312.10080580960806,43.203103980268686,6.22626914644202
-13.163305473560802,176.89581695419756,40.51746315863197,311.3870037285778,48.186729780876185,6.118545460597002
-16.585319006304633,177.67868943920055,48.39910494441759,301.0015448366012,55.735483099831626,6.087910339678202
-11.79069265649106,177.61079465580897,54.78397097510831,303.6223246974452,60.0771797963186,6.031359384218473
-19.844290356935467,178.48288131851265,54.530585697397385,287.8445207203559,62.77915020442917,6.218096295092206
-15.048917342085444,178.41613205109354,61.723110584674735,289.4337720337828,66.8749136271144,6.2089579729705235
-10.29964756271617,178.34666634534875,69.09172889562254,295.45683678193666,70.91136818572069,6.255909334956357
-18.17139660642971,179.24094850910387,66.08843850200911,269.24714732993107,73.43302307760699,6.4849926349483455
-13.415100740732491,179.16749236945282,74.27042145253002,268.24707386408005,77.3449870420694,6.6435758087436545
-21.17006929533999,180.09215939548815,66.76467396624578,245.05122550924943,79.85536000981676,6.1683758332980165
-16.4071652765573,180.00674867221073,74.0841069197377,232.03450865729727,83.69745713005952,6.293206958314851
-24.04877936543566,180.97619942733036,63.63185467939473,223.4176993936015,86.22678845354945,5.812251799696847
-11.678845186369896,179.92880371249862,79.98331618585738,202.80873367874327,87.56948761520046,6.611925062760927
-19.278041533797875,180.87056423021585,68.80971446204501,206.09362141773383,90.04798148528403,5.915021185350653
-14.540135680626369,180.77839202060596,71.52972355352031,181.58492557684065,93.92839585820192,6.232613935645931
-22.02354439798204,181.76437143989497,61.09298604373165,191.97535831430216,96.47403718721093,5.491842550874406
-17.27361886118146,181.650603641793,62.08027206408693,174.00619195294792,100.41453611687228,5.867779896592755
-24.63255034603365,182.6926689272273,52.300352659927526,183.85475824568744,103.0603722583183,5.047116774229389
-12.556892502253032,181.55724030325155,60.37529413772723,157.0005186686234,104.46934606226148,6.506795883449394
-19.865339808808912,182.5495706843704,52.21070766928525,170.20003649872078,107.12273154045164,5.603318381373637
-27.08445279868324,183.6583746752477,42.85261937730486,178.64266626794318,109.91054607895856,4.3932911832893575
-15.131272817566668,182.434802303936,50.05816531477479,157.97630680406672,111.34628879569114,6.36988273015791
-22.28981351420839,183.47772525072543,41.93858110446211,167.91741984365814,114.1771057245269,5.508850117852134
-10.434570153672883,182.34788783782653,46.16323081311063,148.45241240384132,115.76972315323454,7.3811535760654925
-29.34289022075062,184.6613713405896,32.81862426926633,174.9909628701809,117.16606979671364,4.096730711000594
-17.527195436594884,183.3351162799312,39.33190968377397,158.7470736431135,118.67354227569436,6.516639768112658
